	reactant	product	byproduct	reagent	solvent	catalyst	yield
248	CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=C1CC(OCc2ccccc2)C1	CCOC(=O)C=C1CC(OCc2ccccc2)C1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1	empty	ClCCl	empty	empty	0.0
249	COc1cccc(Br)c1C(=O)N[C@H]1CCC[C@@H]1COc1ccc(F)cc1.CCCC[Sn](CCCC)(CCCC)c1cnccn1	COc1cccc([Pd](Br)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)c1C(=O)N[C@H]1CCC[C@@H]1COc1ccc(F)cc1	empty	CCOC(C)=O.CN(C)C=O.COc1cccc(Br)c1C(=O)N[C@H]1CCC[C@@H]1COc1ccc(F)cc1.CCCC[Sn](CCCC)(CCCC)c1cnccn1.F[Cs].O	empty	empty	0.0
250	CCCC[Sn](CCCC)(CCCC)c1cn(C)cn1.O=[N+]([O-])c1ccc(Oc2ccnc(Cl)c2)cn1	c1ccc([PH]([Pd][PH](c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1	empty	CN(C)C=O.CCCC[Sn](CCCC)(CCCC)c1cn(C)cn1.N#N.O=[N+]([O-])c1ccc(Oc2ccnc(Cl)c2)cn1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	empty	empty	0.0
251	CCCC[Sn](CCCC)(CCCC)c1ccc(Br)s1.Fc1ccc(I)cc1	Fc1ccc([Pd](I)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1	empty	CN(C)C=O.CCCC[Sn](CCCC)(CCCC)c1ccc(Br)s1.Fc1ccc(I)cc1.[Cu]I	empty	empty	0.0
252	COC(=O)[C@H](Cc1cc(CO)ccn1)NC(C)=O.O=S(Cl)Cl	COC(=O)[C@H](Cc1cc(COC=[N+](C)C)ccn1)NC(C)=O.O=C(O)O.[Na+]	empty	COC(=O)[C@H](Cc1cc(CO)ccn1)NC(C)=O.ClCCl.ClC(Cl)Cl.O=C(O)O[Na]	empty	empty	0.0
253	O=S(Br)Br.OCc1c(F)cncc1F	[Br-].C[N+](C)=C[OH+]Cc1c(F)cncc1F	empty	OCc1c(F)cncc1F	empty	empty	0.0
254	COc1cc(C(=O)O)cc(F)c1F.CNOC.Cl	COc1cc(C(=O)OC(N(C)C)=[N+](C)C)cc(F)c1F.[O-]n1nnc2cccnc21	empty	CNOC.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CCOC(C)=O.CN(C)C=O.Cl.F[P-](F)(F)(F)(F)F	empty	empty	0.0
255	CON(C)C(=O)[C@H]1CCCN1C(=O)OC(C)(C)C.C[Mg]Br	[Cl-].CO[NH+](C)C(C)(O)[C@H]1CCCN1C(=O)OC(C)(C)C	empty	CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)O.CC(C)COC(=O)Cl.CCN(CC)CC.CCOC(C)=O.C1CCOC1.CNOC.ClCCl.Cl.Cl.N#N	empty	empty	0.0
256	CO.O=C(O)CCc1c[nH]cn1	O.COC(=[OH+])CCc1c[nH]cn1	empty	CO	empty	empty	0.0
257	O=C(O)[C@H](O)CO.C(=NC1CCCCC1)=NC1CCCCC1	[O-]C([NH2+]C=Cc1ccccc1)(OC(=NC1CCCCC1)NC1CCCCC1)[C@H](O)CO	empty	CC#N.NC=Cc1ccccc1	empty	empty	0.0
258	COc1cc(C=CC(=O)CC(C)=O)ccc1O.COc1c(O)cccc1C=O	C=C(O)CC(=O)C=Cc1ccc(O)c(OC)c1.[OH3+]	empty	CCCCOB(OCCCC)OCCCC.CCOC(C)=O.CCCCN.[Cl-].[Na]Cl.[OH3+].O=BOB=O	empty	empty	0.0
259	OCc1ccnc(C(F)(F)F)c1	O=Cc1ccnc(C(F)(F)F)c1.CC(=O)O.CC(=O)OI1OC(=O)c2ccccc21	empty	Ic1c(I)c(I)c2c(c1I)C(I)(I)C(I)(I)C2(I)I.OCc1ccnc(C(F)(F)F)c1.O.c1ccncc1	empty	empty	0.0
260	CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CC[C@@H](C)N(S(=O)(=O)c2ccccn2)C[C@@H]1O	CC(=O)[O-].CC(=O)O[I+]1(O[C@H]2CN(S(=O)(=O)c3ccccn3)[C@H](C)CC[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)c2cc3ccccc3o2)OC(=O)c2ccccc21	empty	CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CC[C@@H](C)N(S(=O)(=O)c2ccccn2)C[C@@H]1O.ClCCl	empty	empty	0.0
261	Cl.N#Cc1ccc2[nH]ncc2c1.NO	N=C(NO)c1ccc2[nH]ncc2c1.O=C(O)O.[Na+]	empty	CO.NO.O=C(O)O[Na]	empty	empty	0.0
262	CC(C)(C)OC(=O)N1CCC2(CC1)CNCCO2.O=C(Cl)OCc1ccccc1	C[NH+](C)C.CC(C)(C)OC(=O)N1CCC2(CC1)CN(C(=O)OCc1ccccc1)CCO2	empty	CN(C)C.ClCCl	empty	empty	0.0
263	CCNc1ccc(-n2ccnc2)cc1.CS(=O)(=O)OCC1CCN(CC2CC2)C1	CC(CC[NH+]1CCOCC1)Oc1ccc([N+](=O)[O-])cc1.CCN(CC1CCN(CC2CC2)C1)c1ccc(-n2ccnc2)cc1	empty	CC(CCN1CCOCC1)Oc1ccc([N+](=O)[O-])cc1	empty	empty	0.0
264	CCOC(=O)Cc1ccc(OC)c(OC)c1.CI	CCOC(=O)C(C)c1ccc(OC)c(OC)c1.[I-]	empty	CI.CN(C)P(=O)(N(C)C)N(C)C.C1CCOC1	empty	empty	0.0
265	CC(O)C1C(=O)N2C(C(=O)OCc3ccc([N+](=O)[O-])cc3)=C(SC3COC(COP(=O)(O)OC(C)[N+](C)(C)C)C3)C(C)C12.O.[OH-]	CC(O)C1C(=O)N2C(C(=O)O)=C(SC3COC(COP(=O)(O)OC(C)[N+](C)(C)C)C3)C(C)C12.O=[N+]([O-])c1ccc(C[O-])cc1	empty	C1COCCO1.O.O=C(O)O[Na].[Pd]	empty	empty	0.0
266	CNc1cccnc1.O=C(O)c1cc(Cl)sc1Cl	CN(C(=O)c1cc(Cl)sc1Cl)c1cccnc1	empty	empty	empty	CN(C)C=O	0.0
267	CC(C)(C)OC(=O)N1CCC(C)(C(=O)O)CC1.Nc1cccc(-c2nnn[nH]2)c1	CC(C)(C)OC(=O)N1CCC(C)(C(=O)Nc2cccc(-c3nnn[nH]3)c2)CC1	empty	empty	empty	CN(C)C=O	0.0
268	CC(C)(C)OC(=O)NCCN.O=C(O)c1cccnc1	CC(C)(C)OC(=O)NCCNC(=O)c1cccnc1	empty	empty	empty	CN(C)C=O	0.0
269	CC(=O)OC(C)=O.C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=CCO)CC[C@@H]12	CC(=O)OCC=C1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C	empty	empty	ClCCl	empty	0.0
270	Cc1cccc(-c2nc(N)sc2-c2ccnc(NCc3ccccc3)c2)c1.O=C(Cl)c1cccnc1	Cc1cccc(-c2nc(NC(=O)c3cccnc3)sc2-c2ccnc(NCc3ccccc3)c2)c1	empty	empty	CC(=O)N(C)C	empty	0.0
271	CCOC(=O)CNCc1c(OC)cccc1[N+](=O)[O-].O=C(Cl)c1ccc(Cl)cc1	CCOC(=O)CN(Cc1c(N)cccc1OC)C(=O)c1ccc(Cl)cc1	empty	empty	CCOC(C)=O.ClCCl	empty	0.0
272	CC(C)(C)OC(=O)OC(C)(C)C.CNC(=O)C(F)(C1CCc2c([nH]c3ccc(Cl)cc23)C1)S(=O)(=O)c1ccccc1	CNC(=O)C(F)(C1CCc2c(n(C(=O)OC(C)(C)C)c3ccc(Cl)cc23)C1)S(=O)(=O)c1ccccc1	empty	CCN(CC)CC	empty	empty	0.0
273	CCC(Oc1cncc(Cl)c1)C(=O)O.C[SiH](C)OC(C#CC(C)(C)N)C(C)(C)C	CCC(Oc1cncc(Cl)c1)C(=O)NC(C)(C)C#CC(O[SiH](C)C)C(C)(C)C	empty	CCN=C=NCCCN(C)C.Cl	empty	empty	0.0
274	COc1ccc(Cn2nccc2N)cc1C.Cc1cccc(-n2nnnc2SCC(=O)O)c1C	COc1ccc(Cn2nccc2NC(=O)CSc2nnnn2-c2cccc(C)c2C)cc1C	empty	CCN=C=NCCCN(C)C.Cl	empty	empty	0.0
275	N#Cc1ncc(Br)cc1[N+](=O)[O-].NC(N)=O	c1cnc2cncnc2c1	empty	empty	empty	[Ni]	0.0
276	C#CCCO.Oc1ccc(-c2c3c(nc4ccnn24)CCC3)cc1I	OCCc1cc2cc(-c3c4c(nc5ccnn35)CCC4)ccc2o1	empty	empty	empty	[Cu]I	0.0
277	Nc1ccc2c(c1)OCO2.O=C(c1ccccc1)C(O)c1ccccc1	c1ccc(-c2[nH]c3cc4c(cc3c2-c2ccccc2)OCO4)cc1	empty	empty	empty	Cc1ccc(S(=O)(=O)O)cc1	0.0
278	CCOC(=O)Cc1nc(C)cs1.O=Cc1ccc(F)cc1O	Cc1csc(-c2cc3ccc(F)cc3oc2=O)n1	empty	empty	CC#N	empty	0.0
279	CC[C@H](NC(=O)OC(C)(C)C)C(=O)N(C(=O)c1c(Cl)cccc1[N+](=O)[O-])C1CC1	CC[C@H](NC(=O)OC(C)(C)C)c1nc2cccc(Cl)c2c(=O)n1C1CC1	empty	empty	CC(=O)O	empty	0.0
280	NN.O=C(Cc1ccccc1F)c1ncc(Cl)cc1Cl	Fc1ccccc1Cc1n[nH]c2cc(Cl)cnc12	empty	empty	c1ccncc1	empty	0.0
281	CC(=O)N1C(=O)N(C(C)=O)C(Cl)C1Cl	CC(=O)n1ccn(C(C)=O)c1=O	empty	CN(C)C=O.O	empty	empty	0.0
282	CC(=O)Cc1ccccc1[N+](=O)[O-]	Cc1cc2ccccc2[nH]1	empty	CC(=O)[O-].[Na+]	empty	empty	0.0
283	COc1ccc2c(c1)C(=O)C(CC=O)C2.C[C@H](O)CN	COc1ccc2c(c1)-c1c(ccn1C[C@H](C)O)C2	empty	O	empty	empty	0.0
284	CCCC[Sn](CCCC)(CCCC)c1nccs1.COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccnc(Br)c1	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccnc(-c2nccs2)c1	empty	empty	empty	Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1	0.0
285	COc1ccc2oc(B(O)O)cc2c1.NC(=O)c1ccc(Br)nc1	COc1ccc2oc(-c3ccc(C(N)=O)cn3)cc2c1	empty	empty	empty	Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1	0.0
286	C/C=C/B(O)O.COc1cc2c(cc1OCCCOc1cc3c(cc1OC)C(=O)N1C=C(OS(=O)(=O)C(F)(F)F)C[C@H]1C(=O)N3COCC[Si](C)(C)C)N(COCC[Si](C)(C)C)C(=O)[C@@H]1CC(/C=C/CNC(=O)OCC3c4ccccc4-c4ccccc43)=CN1C2=O	C/C=C/C1=CN2C(=O)c3cc(OC)c(OCCCOc4cc5c(cc4OC)C(=O)N4C=C(/C=C/CNC(=O)OCC6c7ccccc7-c7ccccc76)C[C@H]4C(=O)N5COCC[Si](C)(C)C)cc3N(COCC[Si](C)(C)C)C(=O)[C@@H]2C1	empty	empty	empty	c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1	0.0
287	CC(=O)N1c2ccc(B3OC(C)(C)C(C)(C)O3)cc2[C@H](NC(=O)OC(C)(C)C)C[C@@H]1C.COC(=O)c1ccc(Br)nc1	COC(=O)c1ccc(-c2ccc3c(c2)[C@H](NC(=O)OC(C)(C)C)C[C@H](C)N3C(C)=O)nc1	empty	empty	CO	empty	0.0
288	COc1ccc(-c2cc3c(I)cn(C(=O)OC(C)(C)C)c3nc2C2CC2)cc1N(C(=O)OC(C)(C)C)S(C)(=O)=O.Cc1nn(Cc2cccc(F)c2)c(C)c1B1OC(C)(C)C(C)(C)O1	COc1ccc(-c2cc3c(-c4c(C)nn(Cc5cccc(F)c5)c4C)cn(C(=O)OC(C)(C)C)c3nc2C2CC2)cc1N(C(=O)OC(C)(C)C)S(C)(=O)=O	empty	empty	COCCOC.O	empty	0.0
289	C#Cc1ccccc1.Clc1ccc(Cl)nc1	Clc1ccc(C#Cc2ccccc2)nc1	empty	empty	O	empty	0.0
290	C=CB1OC(C)(C)C(C)(C)O1.COC(=O)c1cccc(N(C)C2CCCC2)c1Br	C=Cc1c(C(=O)OC)cccc1N(C)C1CCCC1	empty	O=C([O-])[O-].[Na+].[Na+]	empty	empty	0.0
291	C1CC2OC2C1.C=CCCCBr	C=CCCC[C@@H]1CCC[C@H]1O	empty	[Mg]	empty	empty	0.0
292	CN(C)CCCOc1ccc(B2OC(C)(C)C(C)(C)O2)cn1.CO[C@@H]1C[C@H](n2c(=O)n(C)c3cnc4ccc(Br)cc4c32)C1	CO[C@@H]1C[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1	empty	O=C([O-])[O-].[Cs+].[Cs+]	empty	empty	0.0
293	CC(C)S(=O)(=O)NCC(C)(O)c1ccc(OCc2ccccc2)cc1	CC(C)S(=O)(=O)NCC(C)(O)c1ccc(O)cc1	empty	empty	empty	[Pd]	0.0
294	O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(Cc2ccccc2)C2CCCC(N3CCCC3)C21	O=C(Cc1ccc(Cl)c(Cl)c1)N1CCNC2CCCC(N3CCCC3)C21	empty	empty	empty	[Pd]	0.0
295	CCOC(=O)C1CCN(CCn2cccc(-c3ccc(C(=O)OCc4ccccc4)cc3)c2=O)CC1	CCOC(=O)C1CCN(CCn2cccc(-c3ccc(C(=O)O)cc3)c2=O)CC1	empty	empty	empty	[Pd]	0.0
296	CC(Cc1ccc(N2CC(=O)NS2(=O)=O)c(OCc2ccccc2)c1)C(=O)c1ccccc1	CC(Cc1ccc(N2CC(=O)NS2(=O)=O)c(O)c1)C(=O)c1ccccc1	empty	empty	CCO.O	empty	0.0
297	CC(C)(C)OC(=O)N[C@@H]1CN(Cc2ccccc2)CC[C@H]1F	CC(C)(C)OC(=O)N[C@@H]1CNCC[C@H]1F	empty	empty	CO	empty	0.0
298	OC[C@@]12CO[C@@](c3ccc(Cl)c(Cc4ccc(OCCOCc5ccccc5)cc4)c3)(O1)[C@H](O)[C@@H](O)[C@@H]2O	OCCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1	empty	empty	C1CCOC1.CCO	empty	0.0
299	NC(=O)c1nn(C2CCN(Cc3ccccc3)CC2)c2c1CCc1cnc(NC3CCCC3)nc1-2	NC(=O)c1nn(C2CCNCC2)c2c1CCc1cnc(NC3CCCC3)nc1-2	empty	CCOCC	empty	empty	0.0
300	CC(C)(CCn1cnc(-c2ccccc2)c1)NC[C@H](O)c1ccc(OCc2ccccc2)c(NS(=O)(=O)c2cccc3c2NCCC3)c1	CC(C)(CCn1cnc(-c2ccccc2)c1)NC[C@H](O)c1ccc(O)c(NS(=O)(=O)c2cccc3c2NCCC3)c1	empty	[H][H]	empty	empty	0.0
301	Cc1nc2ccc(N3CC4CN(Cc5ccccc5)CC4C3)nn2c1-c1ccnc(N)c1	Cc1nc2ccc(N3CC4CNCC4C3)nn2c1-c1ccnc(N)c1	empty	O=C[O-].[NH4+]	empty	empty	0.0
302	C=CC[C@@]1(C)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(C(CC)CC)C1=O.CC(C)=O.O=[Os](=O)(=O)=O	CCC(CC)N1C(=O)[C@@](C)(CC(O)CO)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	empty	empty	empty	O=[Os](=O)(=O)=O	0.0
303	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Cc1cc(Br)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(/C=C/N(C)C)c1[N+](=O)[O-]	Cc1cc(Br)cc(C)c1Oc1nc(N(C(=O)OC(C)(C)C)c2ccc(C#N)cc2)nc(/C=C/N(C)C)c1[N+](=O)[O-]	empty	empty	empty	CN(C)c1ccncc1	0.0
304	N#Cc1cccc(N)c1.O=[N+]([O-])c1c(OS(=O)(=O)C(F)(F)F)ccc2c1CCCC2	N#Cc1cccc(Nc2ccc3c(c2[N+](=O)[O-])CCCC3)c1	empty	empty	empty	c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1	0.0
305	Cc1c(C)c(OCc2ccccc2)c(C(CCCCCC(=O)OCc2ccccc2)c2ccc(F)cc2)c(C)c1C=O.O=[Ag]	Cc1c(C)c(C(=O)O)c(C)c(C(CCCCC(Cc2ccccc2)C(=O)O)c2ccc(F)cc2)c1OCc1ccccc1	empty	empty	C1COCCO1	empty	0.0
306	CC(ON=C1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2-c2c1ccc([N+](=O)[O-])c2[N+](=O)[O-])C(=O)O.Cc1ncc([N+](=O)[O-])n1CCO	CCOC(=O)C(C)ON=C1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-].Cc1ncc([N+](=O)[O-])[nH]1	empty	empty	C1CCOC1	empty	0.0
307	CC(C)(C)OC(=O)OC(C)(C)C.Nc1n[nH]c2ccc([N+](=O)[O-])cc12	CC(C)(C)OC(=O)Nc1n[nH]c2ccc([N+](=O)[O-])cc12	empty	empty	C1CCOC1	empty	0.0
308	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Nc1cc([N+](=O)[O-])cc(C(F)(F)F)c1	CC(C)(C)OC(=O)Nc1cc([N+](=O)[O-])cc(C(F)(F)F)c1	empty	CCN(CC)CC	empty	empty	0.0
309	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CN1C(=O)[C@@H]2COC[C@]2(c2cc([N+](=O)[O-])ccc2F)N=C1N	CN1C(=O)[C@@H]2COC[C@]2(c2cc([N+](=O)[O-])ccc2F)N=C1NC(=O)OC(C)(C)C	empty	CCN(CC)CC	empty	empty	0.0
310	CC(C)(C)OC(=O)N[C@H]1C[C@H](F)CN(C(=O)OCc2ccccc2)C1.O=[N+]([O-])c1cnccc1Cl	CC(C)(C)OC(=O)N[C@H]1C[C@H](F)CN(c2ccncc2[N+](=O)[O-])C1	empty	CCN(C(C)C)C(C)C.CO	empty	empty	0.0
311	O=C1OCc2c1c(Cl)nc1ccccc21	O=C1OCc2c1cnc1ccccc21	empty	empty	empty	[Pd]	0.0
312	CB1OB(C)OB(C)O1.CCOC(=O)N1C[C@@H]2OCc3c(C)cc(OS(=O)(=O)C(F)(F)F)cc3[C@@H]2C1	CCOC(=O)N1C[C@@H]2OCc3c(C)cc(C)cc3[C@@H]2C1	empty	empty	empty	c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1	0.0
313	Cc1cc(C(=O)O)c(Cl)nn1	Cc1cc(C(=O)O)cnn1	empty	empty	empty	[Pd]	0.0
314	CCOC(=O)Cl.Nc1cc(NCc2ccc(F)cc2)c(F)cc1[N+](=O)[O-]	CCOC(=O)Nc1cc(F)c(NCc2ccc(F)cc2)cc1N	empty	empty	CO	empty	0.0
315	COc1cc(CC(OC(Cc2ccc([N+](=O)[O-])c(OC)c2)c2ccccc2)c2ccccc2)ccc1[N+](=O)[O-]	COc1cc(COCc2ccccc2)ccc1N	empty	empty	CO	empty	0.0
316	CC1=C(C#N)[C@@H](c2ccc(C#N)cc2N)NC(=O)N1c1cccc(C(F)(F)F)c1.Cl[Cu].O=S=O	CC1=C(C#N)[C@@H](c2ccc(C#N)cc2S(=O)(=O)Cl)NC(=O)N1c1cccc(C(F)(F)F)c1	empty	empty	CC(=O)O.O	empty	0.0
317	CS(=O)(=O)CCCOc1cc(Br)c[n+]([O-])c1	CS(=O)(=O)CCCOc1cncc(Br)c1	empty	[Cl-].[NH4+]	empty	empty	0.0
318	COC(=O)c1ccc2c(c1)CCC(Oc1ccnc(Cl)c1)C2	COC(=O)c1ccc2c(c1)CCC(Oc1ccncc1)C2	empty	[H][H]	empty	empty	0.0
319	CB1OB(C)OB(C)O1.COC(=O)c1cc(Br)cc2[nH]ccc12	COC(=O)c1cc(C)cc2[nH]ccc12	empty	CN(C)C=O.O=C([O-])[O-].[Na+].[Na+]	empty	empty	0.0
320	CCCCc1nc2cc(-c3ccccc3)c(C=O)nc2n1Cc1ccc(-c2ccccc2-c2nnnn2C(C)OCC)cc1.OCCO	CCCCc1nc2cc(-c3ccccc3)c(C3OCCO3)nc2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	empty	empty	empty	Cc1ccc(S(=O)(=O)O)cc1	0.0
321	CC(=CBr)c1ccccn1.Cc1ccc2[nH]c3c(c2c1)CN(C)CC3	C/C(=C\n1c2c(c3cc(C)ccc31)CN(C)CC2)c1ccccn1	empty	empty	empty	[Cu]I	0.0
322	CC1CNC(=O)N1c1ccc2ncsc2c1.Cc1ccncc1I	Cc1ccncc1N1CC(C)N(c2ccc3ncsc3c2)C1=O	empty	empty	empty	I[Cu]I	0.0
323	CN1CCC(c2ccc(N)cc2)CC1.COc1ccc(Cn2cc3c(n2)c(Cl)nc2ccc(OC)cc23)cc1	COc1ccc2nc(Nc3ccc(C4CCN(C)CC4)cc3)c3n[nH]cc3c2c1	empty	empty	CO	empty	0.0
324	CC(=O)N1CCN(c2ccc(N)cc2)CC1.COc1ccc(Cn2cc3c(n2)c(Cl)nc2ccc(OC)cc23)cc1	COc1ccc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)c3n[nH]cc3c2c1	empty	empty	CO	empty	0.0
325	C=C(c1ccc(NC(=O)c2cccc(I)c2C(=O)NC(C)C)c(C)c1)C(F)(F)F.ON=CC(F)(F)F	Cc1cc(C2(C(F)(F)F)CC(C(F)(F)F)=NO2)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)C	empty	empty	COCCOC	empty	0.0
326	COc1ccc(Cn2cc3c(n2)c(Cl)nc2ccc(OC)cc23)cc1.Nc1ccc(N2CCN(CC3CC3)CC2)cc1	COc1ccc2nc(Nc3ccc(N4CCN(CC5CC5)CC4)cc3)c3n[nH]cc3c2c1	empty	Cl	empty	empty	0.0
327	CN1CCN(c2ccc(N)cc2)CC1.COc1ccc(Cn2cc3nc(-c4ncco4)nc(Cl)c3n2)cc1	CN1CCN(c2ccc(Nc3nc(-c4ncco4)nc4cn[nH]c34)cc2)CC1	empty	Cl	empty	empty	0.0
328	CC1(C)NC(=O)c2ccc(Cl)cc21.Ic1cncc(I)c1	CC1(C)c2cc(Cl)ccc2C(=O)N1c1cncc(I)c1	empty	N[C@@H]1CCCC[C@H]1N.O=P([O-])([O-])[O-].[K+].[K+].[K+]	empty	empty	0.0
329	C=CCC(Cc1ccc(Br)c2ccccc12)C(=O)N1C(=O)OCC1Cc1ccccc1.O=[Os](=O)(=O)=O	O=CCC(Cc1ccc(Br)c2ccccc12)C(=O)N1C(=O)OCC1Cc1ccccc1	empty	empty	empty	O=[Os](=O)(=O)=O	0.0
330	C=Cc1ncc(Cl)cc1CF.O=[Os](=O)(=O)=O	O=Cc1ncc(Cl)cc1CF	empty	empty	empty	O=[Os](=O)(=O)=O	0.0
331	C=CCC1(S(=O)(=O)Nc2c(Nc3ccc(I)cc3F)c(F)c(=O)n3c2CCC3)CC1.C[N+]1([O-])CCOCC1.O=[Os](=O)(=O)=O	O=c1c(F)c(Nc2ccc(I)cc2F)c(NS(=O)(=O)C2(CC(O)CO)CC2)c2n1CCC2	empty	empty	empty	O=[Os](=O)(=O)=O	0.0
332	CS(=O)(=O)CCn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(CO)cc21	CS(=O)(=O)CCn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C=O)cc21	empty	empty	C1CCOC1	empty	0.0
333	N#Cc1ccc(Br)cn1.O=S(O[Na])c1ccccc1	N#Cc1ccc(S(=O)(=O)c2ccccc2)cn1	empty	empty	CS(C)=O	empty	0.0
334	C=CCn1c(=O)ccc2ccc(C#N)cc21.O=[Os](=O)(=O)=O	N#Cc1ccc2ccc(=O)n(CC=O)c2c1	empty	empty	C1COCCO1.O	empty	0.0
335	C=Cc1nc(C)ccc1-c1ncc(CC)o1.O=[Os](=O)(=O)=O	CCc1cnc(-c2ccc(C)nc2C=O)o1	empty	[Na+].[O-][I+3]([O-])([O-])[O-]	empty	empty	0.0
336	C=CC[C@@H]1CCC[C@H](O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)C1.O=[Os](=O)(=O)=O	CC(C)(C)[Si](O[C@@H]1CCC[C@H](CC=O)C1)(c1ccccc1)c1ccccc1	empty	[Na+].[O-][I+3]([O-])([O-])[O-]	empty	empty	0.0
337	C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H]3C[C@H](C(=O)N4CCCCC4)C3(C)C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+]1([O-])CCOCC1.O=[Os](=O)(=O)=O	CC(C)(CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(C)(O)CO)CC[C@]5(C(=O)N[C@@H]5C[C@H](C(=O)N6CCCCC6)C5(C)C)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C)C(=O)O	empty	O	empty	empty	0.0
338	CC(C)C[C@H](CNC(=O)c1ccccc1)CC(=O)O.OCc1ccccc1	CC(C)C[C@H](CNC(=O)c1ccccc1)CC(=O)OCc1ccccc1	empty	empty	empty	CN(C)c1ccncc1	0.0
339	CC(C)(C)CO.O=C(O)c1ccnc(Cl)c1	CC(C)(C)COC(=O)c1ccnc(Cl)c1	empty	empty	empty	CN(C)C=O	0.0
340	CC(C)c1cccc(C(C)C)c1O.O=C1OC(=O)c2ccccc21	CC(C)c1cccc(C(C)C)c1OC(=O)c1ccccc1C(=O)O	empty	empty	empty	CN(C)c1ccncc1	0.0
